Date,Value,Metric,Company
2015-01-29,1551300.0,BND,Volume
2015-01-29,173585400.0,SPY,Volume
2015-01-29,53221500.0,TSLA,Volume
2015-01-30,63.860172271728516,BND,Close
2015-01-30,167.5687713623047,SPY,Close
2015-01-30,13.573332786560059,TSLA,Close
2015-01-30,63.860172271728516,BND,High
2015-01-30,169.85399206739936,SPY,High
2015-01-30,13.83133316040039,TSLA,High
2015-01-30,63.67847333631157,BND,Low
2015-01-30,167.29992865450734,SPY,Low
2015-01-30,13.533332824707031,TSLA,Low
2015-01-30,63.746608271053546,BND,Open
2015-01-30,168.5097528889383,SPY,Open
2015-01-30,13.597332954406738,TSLA,Open
2015-01-30,10474400.0,BND,Volume
2015-01-30,197729700.0,SPY,Volume
2015-01-30,45105000.0,TSLA,Volume
2015-02-02,63.784339904785156,BND,Close
2015-02-02,169.64395141601562,SPY,Close
2015-02-02,14.062666893005371,TSLA,Close
2015-02-02,63.86020023452344,BND,High
2015-02-02,169.73636890000648,SPY,High
2015-02-02,14.130000114440918,TSLA,High
2015-02-02,63.65537676545284,BND,Low
2015-02-02,166.23292707555905,SPY,Low
2015-02-02,13.553333282470703,TSLA,Low
2015-02-02,63.68571626713043,BND,Open
2015-02-02,168.07286700790803,SPY,Open
2015-02-02,13.597999572753906,TSLA,Open
2015-02-02,6070500.0,BND,Volume
2015-02-02,163107000.0,SPY,Volume
2015-02-02,62238000.0,TSLA,Volume
2015-02-03,63.587032318115234,BND,Close
2015-02-03,172.09716796875,SPY,Close
2015-02-03,14.557332992553711,TSLA,Close
2015-02-03,63.71599532338966,BND,High
2015-02-03,172.10557771463405,SPY,High
2015-02-03,14.691332817077637,TSLA,High
2015-02-03,63.54909929879163,BND,Low
2015-02-03,170.17322066228343,SPY,Low
2015-02-03,14.084667205810547,TSLA,Low
2015-02-03,63.67048033041425,BND,Open
2015-02-03,170.55128745476333,SPY,Open
2015-02-03,14.214667320251465,TSLA,Open
2015-02-03,1237200.0,BND,Volume
2015-02-03,124212900.0,SPY,Volume
2015-02-03,72393000.0,TSLA,Volume
2015-02-04,63.609806060791016,BND,Close
2015-02-04,171.44186401367188,SPY,Close
2015-02-04,14.569999694824219,TSLA,Close
2015-02-04,63.61739382414691,BND,High
2015-02-04,172.550873711228,SPY,High
